	ASGS	nosheep	nobusi	T1	T2	T4	P1	P2	P3
1	101011001	80543.68	41.43	13.87	12.82	5.13	656.69	75.27	37.99
2	101011002	2276499.84	1440.46	13.37	12.77	5.10	757.34	89.25	41.60
3	101011003	362477.16	127.17	14.39	12.98	5.63	680.37	71.09	43.10
4	101011004	1879937.76	986.48	14.12	12.78	5.53	714.26	75.19	44.72
5	101011005	315006.54	222.14	15.10	14.34	5.86	619.88	64.52	39.07
6	101011006	2279051.12	1019.68	15.18	14.22	5.77	627.11	68.38	38.71
7	101021007	96838.38	203.18	12.77	12.41	4.82	855.20	108.32	43.50
8	101021008	184.86	2.34	13.71	13.52	5.45	627.51	75.46	35.50
9	101021009	1400.8	2.34	13.78	13.50	5.48	624.68	75.52	35.76
10	101021011	305084.41	223.11	11.63	12.57	5.10	781.90	92.67	47.61
11	101021012	4479.76	2.26	13.41	13.34	5.42	643.35	75.92	35.92
12	101031013	646368.68	339.51	11.21	12.96	4.84	654.76	82.56	36.21
13	101031014	141893.82	83.92	11.60	14.06	5.11	524.90	66.90	25.65
14	101031015	631297.4	368.26	10.61	12.92	4.98	732.00	84.56	40.82
15	101031016	432754.58	235.25	9.26	12.09	4.96	982.42	107.71	54.33
16	101041019	5077.47	16.05	15.54	11.23	3.96	860.11	115.96	29.60
17	101041020	56856.16	206.06	15.16	9.69	3.61	864.08	105.98	40.39
18	101041022	1599.9	6.76	14.46	11.86	4.27	933.79	132.16	38.26
19	101041024	2111.18	15.96	15.62	10.49	3.78	1043.15	139.41	42.59
20	101041025	45.44	4.54	15.46	10.10	3.65	827.27	104.57	32.80
21	101041026	2167.9	17.82	16.16	9.74	3.47	1037.94	137.75	40.07
22	101041027	1017.04	20.84	15.83	9.49	3.44	1022.75	134.20	39.85
23	102011030	43.66	4.76	17.12	10.41	3.89	1204.34	163.03	54.83
24	102011043	2364.26	2.32	18.00	9.87	3.74	1281.84	164.20	61.76
25	102021047	14.52	2.9	18.10	9.24	3.57	1305.00	167.34	60.97
26	102021049	32.8	2.52	17.43	9.97	3.77	1163.76	162.75	48.61
27	102021051	0	2.34	17.42	9.79	3.71	1270.66	170.73	59.24
28	103011058	55544	55.02	13.61	13.57	5.38	635.59	94.28	36.85
29	103011059	6896.68	13.7	13.60	13.57	5.36	624.64	94.31	34.31
30	103011060	808045.6	603.83	13.33	13.05	5.30	706.05	97.98	42.48
31	103011061	403216.44	302.79	11.81	11.63	5.05	845.93	110.54	49.85
32	103021062	1512508.48	798.85	17.97	13.64	6.16	452.86	62.17	26.52
33	103021063	146245.19	144.38	16.52	14.83	5.83	604.22	72.42	37.90
34	103021064	806049.1	670	16.00	14.61	5.79	635.32	75.83	40.07
35	103021065	1019110.3	589.65	17.30	13.80	6.02	498.82	64.11	31.44
36	103021066	857691.3	516.43	16.46	13.81	5.91	559.58	62.06	32.05
37	103021067	110529.02	97.58	17.38	13.00	5.85	567.59	72.50	38.43
38	103021068	918140.36	624.3	17.45	13.11	5.93	554.49	72.68	36.78
39	103021069	1173424.21	728.76	16.89	13.41	6.08	461.82	52.51	27.53
40	103031071	72762.62	147	13.34	11.91	5.00	793.63	116.60	42.72
41	103031072	83633.07	78.42	15.70	13.54	5.53	686.13	99.69	34.92
42	103031073	159585.51	164.7	14.38	12.02	5.08	726.98	108.30	38.75
43	103031074	1123229.9	746.38	15.58	13.23	5.51	692.10	99.60	40.18
44	103031075	17329.13	18.43	14.65	11.65	4.80	881.05	137.75	38.94
45	103041076	444996.25	445.7	13.65	13.69	5.50	795.70	93.13	43.83
46	103041077	7737.72	18.15	13.28	12.25	5.36	819.83	104.98	48.94
47	103041078	7082.82	22.95	13.61	12.67	5.44	786.65	101.27	48.35
48	103041079	1285683.5	886.01	14.93	13.40	5.68	700.52	90.90	46.32
49	104011080	225.32	6.84	19.46	12.49	4.19	1038.51	142.02	26.65
50	104011081	1091.4	47.26	18.50	13.32	4.43	1119.96	164.24	30.83
51	104011082	37.98	4.41	20.02	10.25	3.61	1416.58	186.70	42.04
52	104021083	69.32	4.46	17.23	12.37	4.31	1481.13	221.96	36.87
53	104021086	149.14	6.84	18.18	11.45	4.10	1577.45	232.90	43.64
54	104021087	2601.92	41.06	14.87	12.15	4.34	1425.16	215.90	36.94
55	104021089	120.4	11.6	18.85	10.75	3.88	1668.39	250.92	42.03
56	104021090	61.88	4.58	19.11	10.96	3.89	1629.82	242.23	40.90
57	104021091	21.96	2.44	18.77	11.00	3.97	1425.62	197.35	40.03
58	105011092	1364297.67	381.48	20.87	14.14	6.36	363.44	52.99	13.45
59	105011093	489333.18	244.84	19.07	13.46	6.16	394.82	56.75	20.13
60	105011094	704765.47	334.62	19.51	14.34	6.11	527.23	90.46	24.03
61	105011095	1431545.54	456.48	19.60	13.66	6.15	461.37	66.40	19.37
62	105011096	1212578.18	351.19	20.41	14.06	6.18	498.07	83.84	20.18
63	105021097	222818.7	45.45	18.45	12.45	5.68	293.63	31.87	16.93
64	105021098	2781032.06	432.14	19.59	13.65	6.04	288.00	37.51	15.23
65	105031099	729378.64	462.28	17.39	14.15	5.74	686.39	119.46	37.15
66	105031100	23780.48	44.37	17.53	14.07	6.03	552.37	82.43	31.86
67	105031101	33695.41	37.43	17.62	14.08	6.04	545.92	82.76	31.64
68	105031102	44166.46	67.54	17.71	14.08	6.05	539.74	84.07	30.96
69	105031103	518213.2	378.54	17.20	13.82	5.92	590.20	87.16	34.74
70	105031104	643617.24	456.8	17.44	14.65	6.03	654.64	111.13	32.85
71	105031105	667652.85	476.06	18.18	13.86	6.08	521.86	80.96	30.10
72	105031106	1183609.88	542.88	16.36	13.68	5.77	629.88	86.07	40.76
73	106011107	243.22	14.46	18.24	12.69	4.57	756.39	108.60	31.09
74	106011109	152.34	6.8	17.36	11.51	4.27	918.99	130.77	36.58
75	106011110	1355.43	37.24	16.94	11.12	4.26	1140.94	167.83	39.93
76	106011111	21.2	2.64	18.41	12.30	4.43	864.42	117.03	33.76
77	106011112	207.78	9.48	18.53	13.03	4.67	708.02	105.37	29.87
78	106011113	1006.15	42.93	17.39	12.48	4.61	780.37	117.76	31.07
79	106021114	46.06	2.3	18.54	12.17	4.38	924.63	124.64	35.16
80	106021116	265.79	14.31	18.31	12.14	4.37	933.55	128.96	34.00
