	ASGS	T1	T2	T4	P1	P2	P3
1	101011001	14.12	12.82	5.12	655.53	75.27	37.99
2	101011002	13.62	12.77	5.09	756.00	89.25	41.60
3	101011003	14.65	12.98	5.63	674.55	71.09	43.10
4	101011004	14.38	12.78	5.53	708.75	75.19	44.72
5	101011005	15.36	14.34	5.87	613.64	64.52	39.07
6	101011006	15.44	14.22	5.77	621.60	68.38	38.71
7	101021007	13.02	12.41	4.83	853.32	108.32	43.50
8	101021008	13.96	13.52	5.46	625.15	75.46	35.50
9	101021009	14.04	13.50	5.48	622.32	75.52	35.76
10	101021011	11.88	12.57	5.10	778.96	92.67	47.61
11	101021012	13.67	13.34	5.42	640.78	75.92	35.92
12	101031013	11.44	12.96	4.85	651.07	82.56	36.21
13	101031014	11.84	14.06	5.12	523.52	66.90	25.65
14	101031015	10.84	12.92	4.99	728.56	84.56	40.82
15	101031016	9.50	12.09	4.98	973.91	107.71	54.33
16	101041019	15.79	11.23	3.96	858.70	115.96	29.60
17	101041020	15.41	9.69	3.62	862.72	105.98	40.39
18	101041022	14.70	11.86	4.27	932.40	132.16	38.26
19	101041024	15.87	10.49	3.78	1042.29	139.41	42.59
20	101041025	15.71	10.10	3.66	825.50	104.57	32.80
21	101041026	16.41	9.74	3.46	1037.81	137.75	40.07
22	101041027	16.09	9.49	3.41	1024.51	134.20	39.85
23	102011030	17.37	10.41	3.88	1205.07	163.03	54.83
24	102011043	18.25	9.87	3.73	1281.46	164.20	61.76
25	102021047	18.35	9.24	3.56	1304.51	167.34	60.97
26	102021049	17.68	9.97	3.76	1164.71	162.75	48.61
27	102021051	17.67	9.79	3.70	1270.78	170.73	59.24
28	103011058	13.87	13.57	5.40	634.58	94.28	36.85
29	103011059	13.86	13.57	5.37	623.95	94.31	34.31
30	103011060	13.59	13.05	5.31	704.47	97.98	42.48
31	103011061	12.07	11.63	5.05	844.77	110.54	49.85
32	103021062	18.24	13.64	6.15	449.50	62.17	26.52
33	103021063	16.79	14.83	5.84	599.48	72.42	37.90
34	103021064	16.27	14.61	5.80	630.45	75.83	40.07
35	103021065	17.57	13.80	6.04	494.99	64.11	31.44
36	103021066	16.74	13.81	5.93	554.07	62.06	32.05
37	103021067	17.64	13.00	5.86	564.08	72.50	38.43
38	103021068	17.71	13.11	5.93	551.16	72.68	36.78
39	103021069	17.17	13.41	6.10	456.46	52.51	27.53
40	103031071	13.60	11.91	5.01	793.14	116.60	42.72
41	103031072	15.96	13.54	5.53	684.50	99.69	34.92
42	103031073	14.63	12.02	5.08	725.56	108.30	38.75
43	103031074	15.84	13.23	5.51	690.12	99.60	40.18
44	103031075	14.90	11.65	4.80	880.90	137.75	38.94
45	103041076	13.91	13.69	5.51	791.86	93.13	43.83
46	103041077	13.52	12.25	5.38	815.82	104.98	48.94
47	103041078	13.85	12.67	5.46	783.01	101.27	48.35
48	103041079	15.18	13.40	5.69	696.71	90.90	46.32
49	104011080	19.71	12.49	4.18	1035.09	142.02	26.65
50	104011081	18.76	13.32	4.43	1116.64	164.24	30.83
